IS_match	flags	MANUAL_match	query_string	LH_match
FEC	LH/IS		Wild bird feces	ece
FEC	LH/IS		Environmental (feces)	ece
cage	LH/IS		feces from market poultry cage	ece
cage	LH/IS		water and feces from cage containing quail	ece
cage	LH/IS		water and feces from cage containing chicken	ece
FEC	LH/IS		wild birds feces	ece
FEC	LH/IS		Feces	ece
FEC	LH/IS		migratory bird feces	ece
floor	IS		floor	
heart	IS		heart	
OF	IS		human, gender: M, Miyagi of Japan	
	LH		dead bird	RD
			mule ducks for 'foie gras'	
	LH		mallard	RD
intestine	IS		intestine	
intestine	IS		gender:M; age:Adult; intestine	
kidney	IS		kidney	
liver	IS		liver	
liver	IS		duck liver	
lngf	IS		isolate, lngf	
lung	IS		lung	
lung	IS		isolate, lung	
lung	IS		Lung	
lung	IS		lung tissue	
lung	IS		lung and trachea	
lung	IS		autopsy lung tissue	
lung	IS		Lungs	
lung	IS		lungs	
lung	IS		lung samples	
lung	IS		isolate, pooled lung	
kidney	IS		throat,lungs,liver,spleen,kidneys	
lung	LH/IS		bird's lungs	RD
heart	IS		heart and lung	
lung	IS		lung from a fattening pig	
lung	IS		Lung from a fattening pig	
			other	
muscle	IS		homogenized pect. muscle	
N/T	IS		Combo N/T	
N/T	IS		combo n/t	
NAS	LH/IS		Nasal Wash	NA
NAS	LH/IS		Nasal Wipe	NA
NAS	LH/IS		nasal	NA
NAS	LH/IS		NASAL WASHING	NA
NAS	LH/IS		OTH- Nasal Wipe	NA
NAS	LH/IS		Nasal washing	NA
NAS	LH/IS		Nasal	NA
NAS	LH/IS		nasal wash	NA
NAS	LH/IS		nasal mucosa	NA
NAS	LH/IS		nasal cavity	NA
NAS	LH/IS		Nasal lavage	NA
NAS	LH/IS		nasopharynx of child	NA
NAS	LH/IS		nasopharynx	NA
NAS	LH/IS		NASW	NA
nose	IS		Nose	
ns	IS		isolate, ns	
ns	IS		isolate, nssf	
ns	IS		nswp	
ns	IS		isolate, nswp	
OF	IS		isolate, OF	
oral	IS		oral fluid	
oral	IS		oral fluids	
ORFL	IS		orfl	
organ	IS		organ	
ns	LH/IS		internal organs	NA
ns	IS		organs	
ns	IS		pooled organs	
ns	IS		respiratory organs	
ns	LH/IS		Internal organs	NA
ns	IS		Organs	
oropharynx	IS		oropharynx	
cage	IS		OTH-water from chicken cage	
patient isolate	IS		patient isolate	
NAS	LH/IS		Nasopharyngeal	NA
pharyngeal	IS		oropharyngeal	
CLO	IS		Combined cloacal and oral-pharyngeal	
oral	IS		Oral-pharyngeal	
NAS	LH/IS		nasopharyngeal	NA
NAS	LH/IS		nasopharyngeal wash	NA
NAS	LH/IS		nasopharyngeal aspirate	NA
NAS	LH/IS		Nasopharyngeal secretion	NA
CLO	LH/IS		Nasopharyngeal-Cloacal	NA
aspirates	LH/IS		Nasopharyngeal Aspirates	NA
NAS	LH/IS		Nasopharyngeal aspirate	NA
NAS	LH/IS		NASOPHARYNGEAL WASH	NA
oral	IS		oral-pharyngeal	
NAS	LH/IS		nasopharyngeal sample	NA
pharyngeal	IS		pharyngeal aspirate	
CLO	IS		combined cloacal and oral-pharyngeal	
sediments	IS		pond sediments	
TRAC	IS		upper respiratory tract sample	
			respiratory sample	
			Respiratory Sample	
respiratory specimen	IS		respiratory specimen	
river	IS		Mangyeong river	
saliva	IS		saliva	
oral	IS		oral saliva sample (specimen)	
sea	IS		sea	
serum	IS		serum	
market	IS		sewage water in poultry market	
sewage	IS		sewage	
slaughterhouse	IS		slaughterhouse	
soil	IS		soil	
spleen	IS		spleen	
sputum	IS		sputum	
stool	IS		stool	
CLO	IS		Oropharyngeal/cloacal swab	
CLO	IS		Swab, Cloacal	
CLO	IS		Swab Pool, Cloacal/Tracheal	
CLO	IS		oral-cloacal swab	
CLO	IS		cloacal swabs	
CLO	IS		Cloacal swab	
CLO	IS		cloacal swab isolate	
CLO	IS		Mixture of tracheal and cloacal swabs	
CLO	IS		cloacal swab and throat swab	
CLO	IS		tracheal and cloacal swabs	
CLO	IS		gender:M; age:Hatch Year; Cloacal swab	
CLO	IS		gender:M; age:Hatch year; Cloacal swab	
CLO	IS		Cloacal swabs	
CLO	IS		Pool of cloacal swabs	
CLO	IS		gender:F; age:Hatch Year; Cloacal swab	
CLO	LH/IS		oral/cloacal swab from wild bird	RD
CLO	IS		Orotracheal/cloacal swabs	
CLO	IS		cloacal swab pool	
CLO	IS		Cloacal Swab	
CLO	IS		gender:F; age:Hatch year; Cloacal swab	
CLO	IS		cloaca swab	
CLO	IS		Oropharyngeal-Cloacal Swab	
CLO	IS		gender:M; age:After Hatch Year; Cloacal swab	
CLO	IS		duck cloacal swabs	
CLO	IS		Throat and cloacal swabs	
FEC	IS		oral and fecal swabs	
FEC	IS		fecal swab	
FEC	IS		Fecal swab	
lung	LH/IS		nasal swab; lung tissue	NA
NAS	LH/IS		Human Nasal swab	NA
NAS	LH/IS		throat and nasal swab	NA
NAS	LH/IS		Nasalswab	NA
NAS	LH/IS		nasal/throat swab	NA
NAS	LH/IS		nasalswab	NA
NAS	LH/IS		Original nasal swab	NA
NAS	LH/IS		nasal and throat swabs	NA
swab	IS		oropharingeal swab	
pharyngeal	IS		oropharyngeal swab	
pharyngeal	IS		Swab, Oropharyngeal	
CLO	IS		oropharyngeal/cloacal swab pool	
NAS	LH/IS		nasal and nasopharyngeal swab	NA
CLO	IS		oropharyngeal and cloacal swabs	
pharyngeal	IS		oropharyngeal swab pool	
CLO	IS		oropharyngeal swabs and cloacal samples	
NAS	LH/IS		Nasopharyngeal swab	NA
CLO	IS		pooled cloacal and oropharyngeal swab	
NAS	LH/IS		nasopharyngeal swabs of patient	NA
pharyngeal	IS		Oropharyngeal Swab	
pharyngeal	IS		Pharyngeal swab	
pharyngeal	IS		Oropharyngeal swabs	
CLO	IS		combined oropharangeal and cloacal swab	
NAS	LH/IS		naso/oropharyngeal swab	NA
CLO	IS		oropharyngeal and cloacal swab	
NAS	LH/IS		nasopharygeal swab	NA
NAS	LH/IS		Naso/Oropharyngeal Swab	NA
NAS	LH/IS		nasopharyngea swab using HBTEC-ALI culture	NA
NAS	LH/IS		Nasopharyngeal Swab	NA
NAS	LH/IS		nasopharingeal swab	NA
pharyngeal	IS		pharyngeal swab	
pharyngeal	IS		oro-pharyngeal swabs	
pharyngeal	LH/IS		napharyngeal swab	NA
CLO	IS		Oropharyngeal and cloacal swabs	
CLO	IS		Pharyngeal and cloacal swabs	
CLO	IS		pooled oropharyngeal and cloacal swabs	
CLO	IS		oropharyngeal/cloacal swab	
NAS	LH/IS		nasopharyngeal swab, J111	NA
NAS	LH/IS		nasopharyngeal swab, R509	NA
CLO	IS		Combined cloacal and oral-pharyngeal swab	
pharyngeal	IS		oropharyngeal swabs	
CLO	IS		Pooled oropharyngeal and cloacal swabs	
NAS	LH/IS		Nasopharyngeal/throat-swab	NA
CLO	IS		cloacal and oropharyngeal swab pool	
NAS	LH/IS		Nasal and pharyngeal swab	NA
NAS	LH/IS		nasopharyngeal swabs	NA
NAS	LH/IS		nasopharyngeal swab	NA
NP	IS		NP Swab	
swab	IS		tracheal swab	
CLO	IS		cloacal swab	
swab	IS		swab	
pharyngeal	IS		Oropharyngeal swab	
swab	IS		throat swab	
CLO	IS		throat-cloaca swab	
CLO	IS		Oropharyngeal swab and cloacal swab	
CLO	IS		Swab Pool, Cloacal/Oropharyngeal	
CLO	LH/IS		oropharyngeal/cloacal swab pool from individual bird	RD
NAS	LH/IS		Nasal Swab	NA
NAS	LH/IS		nasal and throat swab	NA
NP	IS		NP swab	
swab	IS		Throat Swab	
nose	IS		Nose swab	
NP	IS		NP_SWAB	
oral	IS		Swab, Oral	
NAS	LH/IS		Nasal swab	NA
swab	IS		OP swab; pooled sample	
swab	IS		environmental swab	
lung	LH/IS		nasal swab or lung tissue	NA
ns	IS		NSL_SWAB	
swab	IS		Swab	
swab	IS		OP swab	
oral	IS		oral swab	
swab	IS		host swab	
swab	LH/IS		Swab RNA	NA
oral	IS		Oral swab pool	
FEC	IS		pooled fecal swabs	
NAS	LH/IS		nasal swabs	NA
swab	IS		swabs	
OF	IS		Swabs of poultry	
swab	IS		tracheal swabs	
pharyngeal	IS		Pharyngeal Swab	
NP	IS		NP SWAB	
clinical	IS		clinical throat swab	
NAS	LH/IS		nasal & throat swabs	NA
swab	IS		Tracheal swabs	
NAS	LH/IS		host nasal swab	NA
swab	IS		tracheal swab; coacal swab	
NAS	LH/IS		Combination Nasal/Throat Swab	NA
swab	IS		TR swab; pooled sample	
CLO	IS		Tracheal and cloacal swabs	
swab	IS		tracheal swab; pooled sample	
CLO	IS		tracheal/cloacal swab pool	
swab	LH/IS		Individual Bird Swab	RD
NAS	LH/IS		NASALSWAB	NA
swab	IS		environment swab	
NAS	LH/IS		sick bovine's nasal swab	NA
NAS	LH/IS		Nasal and Throat swab	NA
swab	IS		oro-pharyengeal swabs	
swab	IS		rectal swab	
market	LH/IS		swab environment; live bird market	RD
NAS	LH/IS		Throat & Nasal Swab	NA
oral	IS		oral swabs	
lung	LH/IS		nasal swab/lung tissue	NA
swab	IS		TR swab	
CLO	IS		cloaca, larynx and trachea swabs	
FEC	LH/IS		nasal swab from patient with upper respiratory tract infection	NA
swab	IS		Oropharengeal swabs	
NAS	LH/IS		nasopharyngeal swab, J209	NA
CLO	IS		Oropharyngeal & cloacal swab	
swab	IS		pooled environmental swab	
swab	IS		THT_SWAB	
swab	IS		cotton swab	
NAS	LH/IS		gender:F; age:7; nasopharyngeal swab	NA
swab	IS		gender:M; age:14; Throat Swab	
swab	IS		gender:M; age:15; Throat Swab	
NAS	LH/IS		nasal swab from a fattening pig	NA
lung	LH/IS		nasal swab, traquea swab, lung, spleen pool	NA
NAS	LH/IS		nasopharyngeal swab; oseltamivir resistant	NA
CLO	IS		oral/cloacal swab	
CLO	IS		pooled cloacal swabs	
CLO	IS		pooled oralpharyngeal and cloacal swab	
swab	IS		swab pool	
swab	IS		Tracheal swab	
CLO	IS		cloacal swab taken during an outbreak at a chicken farm	
NAS	LH/IS		gender:M; age:14; nasopharyngeal swab	NA
NAS	LH/IS		gender:M; age:9; nasopharyngeal swab	NA
cage	LH/IS		live bird market environment swab (cage, water dish or food bowl)	RD
CLO	IS		Tracheal and cloacal swab	
swab	IS		Throat swab	
swab	IS		tracheal swab pool	
swab	IS		tracheal swab pool; EP1	
CLO	IS		Tracheal/cloacal swab	
CLO	IS		mixture of tracheal and cloacal swabs	
swab	IS		tracheal swab; EP1	
throat	IS		Throat	
throat	IS		day 1 throat	
NAS	LH/IS		Combination Nasal/Throat	NA
throat	IS		day 3 throat	
throat	IS		day 5 throat	
throat	IS		throat	
tissue	IS		tissue	
tissue	IS		tissue-samples	
tissue	IS		tissues	
tissue	IS		pooled tissue	
tissue	IS		Tissue	
tissue	IS		tissue samples	
liver	IS		pooled host liver, lung, spleen tissue	
tissue	LH/IS		whole cell/tissue lysate	cell
tissue	IS		Tissues	
tissue	IS		tissue lysate	
tissue	IS		tissue sample	
tissue	IS		host tissue	
ns	IS		cecal tonsil	
lung	IS		Lung and tracheal tissue	
ns	LH/IS		tissue homogenate(trachea/cecal tonsil)	NA
TRAC	IS		trachea	
TRAC	IS		tracheal	
organ	IS		tracheal organ	
lung	IS		trachea and lung tissue	
TRAC	IS		trachea-explant	
TRAC	IS		endotracheal aspirate	
ns	LH/IS		tissue homogenates from trachea and cecal tonsil	NA
TRAC	IS		tracheal rings	
TRAC	IS		tracheal aspirate	
lung	IS		trachea, lung	
lung	IS		trachea and lung	
lung	IS		Trachea,bronchus,lung	
lung	IS		lung and tracheal tissue	
lung	IS		Trachea-Lung	
lung	IS		tracheal and lung	
liver	IS		liver,trachea,lung	
ns	IS		trans-tracheal wash	
TRAC	LH/IS		tracheal homogenate	NA
lung	IS		trachea and lungs	
TRAC	IS		tracheal autopsy material	
market	IS		poultry market wastewater	
water	IS		water	
water	IS		environment water	
market	LH/IS		water from live bird market	RD
market	IS		water in poultry market	
water	IS		Poultry drinking water	
water	IS		poultry drinking water	
cage	IS		water from chicken cage	
water	IS		surface water	
water	IS		environmental water	
water	IS		fresh water	
market	IS		market water trough	
wipe	IS		environmental wipe	
wipe	IS		livestock exhibition wipe	
			age:Adult	
			gender:M	
			gender:F	
			0	
			age:9Y	
			gender:M; age:6 Y	
			age:15Y	
			age:16Y	
			gender:M; age:3 Y	
			gender:M; age:Immature	
			gender:F; age:1y	
			age:7Y	
			gender:M; age:4 Y	
			age:11Y	
			age:12Y	
			gender:M; age:5 Y	
			age:13Y	
			age:6Y	
			age:3Y	
			gender:F; age:6 Y	
			gender:M; age:1m	
			gender:M; age:1y	
			gender:M; age:8 Y	
			age:17Y	
			age:2Y	
			gender:F; age:21y	
			age:14Y	
			gender:F; age:2Y	
			gender:F; age:2y	
			gender:F; age:7 Y	
			age:18Y	
			age:4Y	
			gender:F; age:5 Y	
			gender:F; age:Immature	
			gender:M; age:9 Y	
			gender:F; age:20y	
			gender:F; age:8 Y	
			gender:M; age:4y	
			gender:M; age:5Y	
			gender:M; age:7Y	
			gender:M; age:Hatch Year	
			gender:F; age:4 Y	
			gender:M; age:2 Y	
			age:10Y	
			gender:F; age:3 Y	
			gender:F; age:9 Y	
			gender:F; age:Hatch year	
			gender:M; age:18y	
			gender:M; age:5	
			age:19Y	
			gender:F; age:18y	
			gender:F; age:3y	
			gender:F; age:87y	
			gender:M; age:10 Y	
			gender:M; age:11 Y	
			gender:M; age:6Y	
	LH		RNA	NA
			age:5Y	
			age:8Y	
			gender:F; age:13 Y	
			gender:F; age:6Y	
			gender:M; age:13 Y	
			gender:M; age:19y	
			gender:M; age:22y	
			gender:M; age:2Y	
			gender:M; age:7 Y	
			gender:M; age:9Y	
OF	LH/IS		human, gender: M; Hanoi of Vietnam	NA
			age:Immature	
			age:1Y	
			gender:F; age:1Y	
			gender:F; age:4Y	
			gender:F; age:hatch year	
			gender:M; age:12 Y	
			gender:M; age:1Y	
			gender:M; age:2m	
			gender:M; age:3y	
			gender:M; age:4m	
			gender:M; age:80y	
			gender:M; age:8Y	
			gender:M; age:hatch year	
			gender:M; age:3	
			gender:F; age:2 Y	
			gender:M; age:4	
			gender:F; age:17y	
			gender:F; age:19y	
			gender:F; age:1m	
			gender:F; age:89y	
			gender:M; age:1 Y	
			gender:M; age:2y	
			gender:M; age:3Y	
			gender:M; age:4Y	
			gender:M; age:5m	
			gender:M; age:Hatch year	
	LH		Individual Bird Sample	RD
	LH		backyard	RD
OF	LH/IS		human, gender: F; Hanoi of Vietnam	NA
			gender:F; age:1 Y	
			gender:M; age:6	
	LH		Dead Bird	RD
			age:23Y	
			gender:F; age:10 Y	
			gender:F; age:14 Y	
			gender:F; age:3Y	
			gender:F; age:5Y	
			gender:F; age:6y	
			gender:F; age:7Y	
			gender:F; age:81y	
			gender:F; age:86y	
			gender:M; age:10Y	
			gender:M; age:51y	
			gender:M; age:6y	
			gender:M; age:7m	
			chicken	
			gender:F; age:5	
			gender:F; age:4	
			gender:F; age:7	
			gender:M; age:2	
			Gallus Gallus	
			Geumgang	
			age:Juvenile	
			gender:F; age:10Y	
			gender:F; age:11y	
			gender:F; age:13y	
			gender:F; age:23 Y	
			gender:F; age:29y	
			gender:F; age:30Y	
			gender:F; age:82y	
			gender:F; age:88y	
			gender:M; age:16y	
			gender:M; age:17Y	
			gender:M; age:21y	
			gender:M; age:27y	
			gender:M; age:3m	
			gender:M; age:5y	
			gender:M; age:66y	
			gender:M; age:8y	
			gender:M; age:immature	
			gender:M; age:9	
NAS	LH/IS		nasal swab (specimen)	NA
lung	IS		tissue specimen from lung (specimen)	
			gender:M; age:56Y	
			isolate	
			gender:M; age:7	
			dead chicken	
			gender:F; age:6	
			age:20Y	
			gender:F; age:11 Y	
			gender:F; age:16Y	
			gender:F; age:19 Y	
			gender:F; age:2m	
			gender:F; age:3	
			gender:F; age:33y	
			gender:F; age:4y	
			gender:F; age:5y	
			gender:F; age:83y	
			gender:F; age:85y	
			gender:F; age:Adult	
			gender:F; age:Hatch Year	
			gender:M; age:11Y	
			gender:M; age:15 Y	
			gender:M; age:16Y	
			gender:M; age:20y	
			gender:M; age:23Y	
			gender:M; age:26y	
			gender:M; age:28 Y	
			gender:M; age:28y	
			gender:M; age:33y	
			gender:M; age:53y	
			gender:M; age:72y	
			gender:M; age:76y	
			gender:M; age:81y	
			gender:M; age:84y	
			gender:M; age:88y	
			gender:M; age:9y	
			gender:M; age:Adult	
			isolates	
			quail	
			sick chicken	
			gender:F; age:1	
			gender:F; age:8	
NAS	LH/IS		Anas platyrhynchos	NA
	LH		Raw poultry meat product illegally brought to Japan by international flight passenger	NA
			age:22Y	
			age:25Y	
			age:27Y	
			farm	
			gender:F; age:12Y	
			gender:F; age:13Y	
			gender:F; age:15y	
			gender:F; age:22y	
			gender:F; age:23y	
			gender:F; age:26y	
			gender:F; age:28Y	
			gender:F; age:76y	
			gender:F; age:78y	
			gender:F; age:79y	
			gender:F; age:7m	
			gender:F; age:80y	
			gender:F; age:87Y	
			gender:F; age:91y	
			gender:M; age:1	
			gender:M; age:12Y	
			gender:M; age:13Y	
			gender:M; age:20Y	
			gender:M; age:23y	
			gender:M; age:24 Y	
			gender:M; age:29 Y	
			gender:M; age:32Y	
			gender:M; age:33 Y	
			gender:M; age:41y	
			gender:M; age:43y	
			gender:M; age:59y	
			gender:M; age:6m	
			gender:M; age:78y	
			gender:M; age:83y	
			gender:M; age:8M	
NW	IS		isolate, nw	
			female, unfed, collected in residential habitat	
	LH		from 2nd passage in MDCK cells	cell
			gender:F; age:14	
			gender:M; age:17	
			gender:M; age:11	
			gender:M; age:8	
			gender:F; age:2	
			gender:M; age:10	
pooled homogenate	LH/IS		pooled homogenate	NA
			Foshan	
			Mihocheon	
			age:-	
			age:24Y	
			age:26Y	
			age:39Y	
			age:48Y	
			age:49Y	
			age:50Y	
			age:Hatch year	
			age:fledgling	
			age:immature	
CLO	IS		clocal swab	
FEC	LH/IS		feces specimen	ece
			gender:F; age:14y	
			gender:F; age:23Y	
			gender:F; age:24y	
			gender:F; age:25 Y	
			gender:F; age:32y	
			gender:F; age:35 Y	
			gender:F; age:37 Y	
			gender:F; age:38y	
			gender:F; age:39y	
			gender:F; age:41 Y	
			gender:F; age:43y	
			gender:F; age:53Y	
			gender:F; age:54 Y	
			gender:F; age:58y	
			gender:F; age:5m	
			gender:F; age:6M	
			gender:F; age:71y	
			gender:F; age:72y	
			gender:F; age:84y	
			gender:F; age:9	
			gender:F; age:90y	
			gender:F; age:92y	
			gender:F; age:94y	
			gender:M; age:14 Y	
			gender:M; age:18Y	
			gender:M; age:22Y	
			gender:M; age:24y	
			gender:M; age:25 Y	
			gender:M; age:30 Y	
			gender:M; age:30y	
			gender:M; age:34 Y	
			gender:M; age:37 Y	
			gender:M; age:42Y	
			gender:M; age:49Y	
			gender:M; age:50y	
			gender:M; age:5M	
			gender:M; age:65y	
			gender:M; age:67y	
			gender:M; age:70y	
			gender:M; age:78Y	
			gender:M; age:79Y	
			gender:M; age:7y	
			unknown	
	LH		Dead bird	RD
	LH		migratory bird	RD
			not applicable	
carcass	IS		Carcass	
			reverse-genetic mutant	
			gender:M; age:3 M	
			Amblyomma americanum	
			Commercial pig farm	
	LH		Deadbird	RD
			Guangzhou	
			age:10	
			age:11	
			age:1m	
			age:28Y	
			age:29Y	
			age:2M	
			age:33Y	
			age:44Y	
			age:47Y	
			age:4y	
			age:53Y	
			age:6y	
			age:mature	
FEC	LH/IS		allantoic fluid harvested from an infected egg	egg
cage	LH/IS		bird cage	RD
			gender:F; age:12y	
			gender:F; age:14Y	
			gender:F; age:15 Y	
			gender:F; age:16 Y	
			gender:F; age:16y	
			gender:F; age:17 Y	
			gender:F; age:18 Y	
			gender:F; age:18Y	
			gender:F; age:2 M	
			gender:F; age:20 Y	
			gender:F; age:20Y	
			gender:F; age:25y	
			gender:F; age:27y	
			gender:F; age:29Y	
			gender:F; age:30y	
			gender:F; age:32Y	
			gender:F; age:33 Y	
			gender:F; age:33Y	
			gender:F; age:34y	
			gender:F; age:37y	
			gender:F; age:39Y	
			gender:F; age:3M	
			gender:F; age:45y	
			gender:F; age:46y	
			gender:F; age:47y	
			gender:F; age:49y	
			gender:F; age:4m	
			gender:F; age:51 Y	
			gender:F; age:51y	
			gender:F; age:52Y	
			gender:F; age:54Y	
			gender:F; age:54y	
			gender:F; age:60y	
			gender:F; age:61y	
			gender:F; age:63Y	
			gender:F; age:63y	
			gender:F; age:6m	
			gender:F; age:72Y	
			gender:F; age:73y	
			gender:F; age:74y	
			gender:F; age:75y	
			gender:F; age:77y	
			gender:F; age:7y	
			gender:F; age:8Y	
			gender:F; age:8m	
			gender:F; age:93y	
			gender:F; age:95y	
			gender:F; age:96y	
			gender:F; age:9Y	
			gender:F; age:immature	
			gender:M; age:10y	
			gender:M; age:11 M	
			gender:M; age:12M	
			gender:M; age:12y	
			gender:M; age:13y	
			gender:M; age:15y	
			gender:M; age:23 Y	
			gender:M; age:24Y	
			gender:M; age:26 Y	
			gender:M; age:28Y	
			gender:M; age:29Y	
			gender:M; age:31y	
			gender:M; age:32 Y	
			gender:M; age:32y	
			gender:M; age:37y	
			gender:M; age:38y	
			gender:M; age:39y	
			gender:M; age:45y	
			gender:M; age:48 Y	
			gender:M; age:52 Y	
			gender:M; age:52y	
			gender:M; age:58y	
			gender:M; age:6 M	
			gender:M; age:60y	
			gender:M; age:63y	
			gender:M; age:68Y	
			gender:M; age:73y	
			gender:M; age:89y	
			gender:M; age:92y	
			gender:M; age:9m	
			muscovy duck	
			not-available	
			virus separation	
			gender:M; age:15	
	LH		allantoic fluid from embryonated chicken egg first passage	egg
BAL	IS		day 3-5 bal/et	
			gender:F; age:10	
			gender:M; age:38	
ns	IS		pooled organ suspension collected from a dead swan	
			post tmt +2 day	
dust	IS		Dust	
			Human	
tissue	IS		Other tissue	
OF	IS		human, gender: F, Yamagata of Japan	
FEC	LH/IS		live poultry market, feces	ece
market	IS		market	
aspirates	LH/IS		nasopharyngeal aspirates	NA
NAS	LH/IS		nasopharyngeal swab, J039	NA
lung	IS		necropsy tissue (lung)	
			swine	
NAS	LH/IS		NASAL swab	NA
	LH		egg	egg
			gender:F; age:12	
			gender:Female; age:6	
NAS	LH/IS		nasopharyngeal swab, J111, ILI	NA
CLO	LH/IS		pool of cloacal swabs_ECE1	ece
Mixed_Vicera	IS		Mixed_Vicera	
NAS	LH/IS		Throat Swab +Nasal Swab	NA
FEC	LH/IS		bird feces	ece
bronchoalveolar	IS		bronchoalveolar lavage from patient with acute respiratory distress syndrome	
NAS	LH/IS		gender:F; Nasal Wash	NA
			gender:F; age:27	
NAS	LH/IS		gender:M; age:20; Nasal Wash	NA
			gender:M; age:22	
NAS	LH/IS		gender:M; nasopharyngeal	NA
OF	IS		human, gender: F, Miyagi of Japan	
NW	IS		nwsp	
BAL	IS		BALF	
NAS	LH/IS		Nasopharyngeal swabs	NA
			age:1	
			age:7	
			alantoic fluid from dead swan	
swab	IS		chicken swab	
clinical	IS		clinical isolate	
NAS	LH/IS		gender:F; age:22; nasopharyngeal swab	NA
			gender:F; age:48 Y	
			gender:M; age:36	
NAS	LH/IS		gender:M; age:4; Nasal Swab	NA
ns	IS		isolate, NS	
ns	IS		isolate, NSSF	
FEC	LH/IS		nasal swab from patient with lower respiratory tract infection	NA
NAS	LH/IS		nasopharynx/oropharynx	NA
lung	IS		pooled lung	
